,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,961057,9352054,10566006,4772479,367713,4174683,8968833,8626823,2969214,85328,3922954,21611345,8639296,37287910,145102,2451071,103562,21483756,17504776,20956045,26645288,905030,259837,460038,777319,986177,6420861
b,5884066,422659,98963,185406,40249571,163690,574135,520148,6436026,118585,110526,3550690,176658,523616,3253161,60122,12383,3796528,4092031,1470698,3933775,62381,312849,7036,350937,394566,3445788
c,1836332,68328,249327,109529,2115313,33108,24117,79052430,695075,10149,7482201,540323,250128,29312,5618580,35367,15544,557915,339611,632058,340010,17857,11553,10286,296506,28876,1156832
d,17422239,370795,240357,327029,61793961,361446,370418,443095,26367322,86562,258149,1479143,474379,516018,2892511,291493,14326,3097887,1779291,1068318,6686160,236126,415000,12552,244697,61334,27220760
e,3010760,10141103,7153615,8191830,2511825,3871009,7895715,10003574,61661667,82718,3301600,23386823,14374150,130006629,1168577,2452377,250094,125621154,37592927,15878024,7188987,1180129,3573088,1941192,350689,2518638,90333633
f,7703211,385971,88085,112986,9654021,3925870,656552,132755,4179895,16782,120518,2458069,154641,474919,6980320,111934,5523,4780860,1058902,5206856,9687734,123726,164724,9806,30238,394590,7519586
g,5171327,482026,94856,205733,45736712,240931,468761,558552,4434417,41441,829304,4622737,394007,1403389,2203342,128663,6480,5836020,4957186,3355153,4070016,301163,188260,6979,123068,114675,22678772
h,16821274,456238,58978,357669,30248795,358361,318940,293037,7388541,42871,800739,6785455,3017859,5757160,6284991,233593,12206,14808785,2166362,15622864,4538797,133512,1599003,5023,333045,294373,22091493
i,2773283,2509978,29827307,4083019,56218846,2357287,14126945,5118518,251680,55915,3733853,9967512,9009809,59173648,8114224,1341142,75763,8476498,22873956,29653795,503171,3276234,227155,236685,37445,1551517,6968147
j,3013511,10732,10591,11509,3234459,7194,9041,13705,68648,7759,13193,7157,11232,9320,560590,32245,8911,10375,30132,11581,1636230,6272,5791,1801,2829,3176,99554
k,6768066,217267,113261,99733,10101039,227529,261216,189413,4788915,19584,216040,4129892,350254,434768,9251913,137343,8384,2517039,1392608,8013127,4303692,86367,215500,3363,100137,592108,5755970
l,14750358,1915351,976072,3497171,26168031,1507748,1933788,285304,22672885,54330,815159,16431670,900906,1440194,5321413,499252,14696,346705,5227203,10261781,5939077,397717,289137,10853,876092,709210,12286697
m,15156347,2582012,122078,245285,18573498,461777,356288,130715,12855111,15006,184288,545700,6615630,169333,5013705,2831799,7528,117185,1288953,1549310,3951509,88700,385426,16147,166942,99870,22091117
n,12720810,2986111,1339963,42808061,35807735,4682849,31715469,2250173,12348527,134154,5474497,2467247,1105095,11518240,4918545,593451,34360,912837,17967571,18737688,6311885,920163,1599457,23920,380994,5058708,130193816
o,645300,3259834,4506814,5770551,370533,3693511,5021464,2957689,393513,370015,4405670,8747116,6524015,26340825,4804735,2972309,13821,18901946,6788955,4368218,1909913,1278217,2010365,303648,117878,685277,6180661
p,5781184,101302,173164,230019,7070168,2109278,63115,1141093,2917133,9993,68195,2413383,91859,80696,3302778,1807570,4351,8588614,1188306,2340008,1417448,46138,87242,17362,118147,67119,1566170
q,11823,3923,5644,3546,3186,2270,2952,2866,13153,1903,2809,11136,13677,2404,4190,3274,3173,8255,16864,5632,1228661,5164,3170,2998,1570,1511,100772
r,19559797,5989184,2983053,9952048,38948147,4428404,5107167,3204995,14636050,113692,5885304,4752791,5334768,7635409,10598526,1141157,104478,2596271,11781981,16165155,12551350,1258127,2857916,25119,500941,3422097,71810798
s,7544927,2081791,25219505,748543,33120655,1091610,2193983,1820814,20224807,102661,1529545,1711760,1440403,525943,9923088,7916592,102028,881321,20467065,40258581,4210665,855613,1859750,14430,885689,790329,45294749
t,14763337,843963,469947,547916,63132936,1037451,1166914,3963836,21245732,62769,400670,3453295,928824,881754,6346765,1044814,20735,10430253,8791262,7742396,9331731,483737,2874169,20146,671968,9421693,58693259
u,1791995,6417119,9247223,1452008,4305317,10274365,4096430,2968001,577949,34119,1313489,3833488,8935686,52998709,134297,1578350,4737,19257953,15773074,10775951,145172,241829,191612,115682,28965,411238,9424412
v,1463235,47658,30006,62826,15609729,28449,75901,25667,4490645,6878,26275,41212,41744,20505,11260106,57830,1849,54951,103468,39355,59080,23188,33743,2747,17596,14484,1116623
w,8520165,51470,48263,112778,21124243,65746,54900,216368,13565305,23375,36776,121029,72085,187032,3918103,86596,3480,82219,984968,44049,2275466,19880,708129,5804,28921,11491,1069892
x,124893,28551,67463,26510,305082,27620,12316,23652,507829,6237,68957,45308,35415,21346,44240,352759,6294,19200,46073,745439,87072,17546,8520,95377,48072,19585,1070787
y,192031,116789,228897,97622,347574,35878,61574,59070,50790,11139,62325,248915,432555,202792,557902,441704,2533,175687,1085483,312161,48949,22361,43203,10548,8225,31783,2273875
z,1473558,525284,34663,150318,11544750,123631,213622,142083,4252511,13613,153025,673438,109028,80211,1101807,90763,4413,102655,181839,2163755,15937334,71431,2382767,6365,86661,188611,4123977
 ,45622225,28697963,7742830,70090559,37053240,20809966,22926036,16526096,32420208,7317394,18896607,11578782,26241516,17651384,9632880,14059387,620609,9887488,47154920,11689128,31442087,22612507,31009506,514559,595863,18112446,35674549
