,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,5,1815,2130,1231,23,317,1547,239,20162,173,6,3418,2050,12800,30,1832,278,7986,4529,3545,5961,5506,0,5,541,36,18535
b,1778,23,2,5,1388,1,0,2,1209,35,0,2422,3,4,1860,0,0,1717,291,7,302,3,0,0,27,0,27
c,2501,2,522,2,10188,1,0,5682,1848,0,9,756,0,1,7178,5,40,1480,166,820,1032,0,0,0,31,2,1482
d,4709,1,9,2,19764,0,1,188,4551,3,0,4,79,0,1913,21,0,1185,347,4,3208,6,1,1,30,0,1551
e,2198,426,3781,704,2205,872,917,172,1691,156,8,6460,6161,19100,259,2068,461,12849,23158,16678,8831,2740,0,610,103,1403,71387
f,3400,0,1,3,1475,1095,0,0,1582,0,0,471,2,0,1709,0,0,1057,53,0,715,0,0,1,0,0,282
g,1577,0,0,2,3083,2,8,4,533,0,0,427,42,1122,468,1,0,1341,31,209,899,0,0,0,8,3,186
h,2757,0,0,0,3875,0,0,0,769,0,0,24,6,3,2125,1,0,47,2,6,452,0,0,0,53,0,328
i,834,659,1390,1070,10056,493,1403,8,130,21,5,10199,1363,8349,2435,234,740,4859,9271,17412,369,1219,0,608,0,74,7932
j,1156,0,0,0,2719,0,0,0,10,0,0,0,0,0,1326,0,0,0,0,0,487,0,0,0,16,0,2
k,6,0,4,0,14,0,0,0,8,0,0,1,0,0,6,0,0,1,4,0,0,0,0,0,2,2,4
l,14160,45,87,83,22625,13,45,679,3419,389,1,6141,79,6,2699,39,637,92,729,219,3855,17,0,1,95,2,7492
m,6064,1517,0,0,10937,0,0,1,2490,0,0,7,3136,105,3718,1873,0,0,38,23,469,0,2,0,180,0,548
n,3200,5,3143,4130,11015,808,1495,117,1783,154,5,68,10,1976,2316,6,429,84,7490,16110,1102,495,1,22,277,66,16163
o,9,487,1179,252,453,319,278,89,6007,14,0,2002,4791,14835,10,549,150,4222,2093,1431,15650,94,3,5,687,2,137
p,6686,1,13,1,4959,0,0,406,1091,0,0,2777,43,0,4458,1020,0,4145,480,378,1116,0,0,0,9,0,517
q,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13193,0,0,0,0,0,130
r,6880,316,1104,2118,20590,177,795,16,6116,1,2,445,1249,829,4847,203,240,2217,2531,3287,1508,410,0,0,64,6,12142
s,5986,22,702,48,11241,62,3,32,4055,18,4,113,135,52,5485,920,618,9,4585,4982,2658,40,2,0,146,0,38937
t,6506,7,375,38,13911,26,37,505,5803,25,0,54,50,24,4391,105,24,5995,1613,2934,1586,12,0,0,47,22,37933
u,1544,590,1079,702,9019,456,364,24,8220,351,0,1675,717,7304,726,1152,82,10345,6635,5933,319,1892,0,2975,98,38,7067
v,5183,0,0,0,6085,0,0,0,2920,0,0,5,0,0,4147,0,0,1311,0,0,244,0,0,0,0,0,48
w,17,0,0,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
x,98,0,95,6,147,1,0,23,163,0,0,10,11,26,17,155,24,2,9,138,1,36,0,0,3,0,3327
y,656,1,10,8,665,0,15,1,1,0,0,51,44,21,147,20,0,167,260,17,2,1,1,3,0,1,1343
z,52,0,1,16,143,0,0,0,21,1,0,16,42,10,46,0,0,1,1,2,14,221,0,0,8,3,1100
 ,16738,5189,18119,27157,18812,7203,3038,2260,6547,4375,12,26102,11095,5902,3432,17896,9603,6981,16538,7888,5334,7251,18,61,1010,38,9886
