,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,2078,49748,113274,42245,4353,16152,86887,3400,265919,6225,3772,159976,56070,358561,6026,58311,8648,229712,111590,221423,176225,93469,1665,4091,15532,4507,402607
b,37311,2808,1158,1218,39930,250,196,201,45200,3311,75,72425,702,441,46269,409,29,56698,6207,2971,16410,356,163,53,2770,94,10675
c,109337,905,25360,1204,264474,880,960,146282,88515,103,9982,39948,2496,866,283751,933,1979,43861,5018,96390,44653,2106,85,49,3558,166,56649
d,116300,741,1619,2314,677547,1383,1784,6367,122433,1154,92,938,5448,729,60359,1843,81,43091,9030,878,120431,933,547,70,2399,103,52221
e,61078,20294,175344,45471,84265,33001,48763,3783,36719,6329,2118,166410,210710,578036,11255,68100,12212,494888,862674,345340,192556,53122,5386,48228,3877,57925,1886231
f,66591,223,669,418,50612,36198,210,124,70766,57,105,9881,428,330,71082,409,20,37039,5973,1721,9173,120,68,149,235,31,20536
g,47381,669,779,842,124407,392,1800,3267,37015,67,130,13692,2830,31140,18648,1048,23,47057,2405,2165,23933,415,272,56,921,94,23812
h,70263,282,405,563,97924,367,155,389,35713,95,150,1225,1718,6068,41932,1979,72,4890,1127,6531,10466,191,230,36,4640,249,19156
i,48804,29323,101135,52018,275113,40834,45176,694,3160,1716,3006,189989,64709,285036,216543,22090,71785,157798,299267,262769,2306,60660,345,12880,311,3265,147235
j,27667,111,188,194,50655,102,46,96,922,69,116,145,100,212,33486,350,66,108,236,70,21592,73,29,7,185,25,1354
k,5593,495,565,118,9852,200,877,858,16829,106,262,673,1382,446,3015,228,36,1510,1581,528,980,89,296,148,956,68,11890
l,313555,2338,3808,4148,619770,1458,3358,7153,207914,127,818,132958,4182,910,95938,2417,5274,535,26704,19203,79413,1718,420,171,9642,269,135045
m,178384,42729,1160,451,324173,567,619,445,87051,120,157,1665,71102,1818,88137,71165,34,652,4907,787,20668,195,561,85,2623,73,34144
n,100737,1599,125693,120133,307808,32780,45656,2275,97529,3375,2606,2850,1525,90532,122848,1318,5249,5639,236492,481223,28060,23084,357,305,4949,1258,479769
o,3118,28587,51950,32260,11525,20989,27747,2006,136646,4507,15740,68483,128238,572935,22589,48393,4297,167798,79942,83167,434217,15317,4775,3677,16973,1164,36769
p,187452,1695,1505,1686,146872,472,404,24039,33884,90,140,92266,915,886,197139,37493,33,162368,15550,34551,32368,347,861,273,1343,65,20017
q,349,22,109,28,58,43,17,24,210,16,9,51,29,24,81,56,77,67,62,89,267635,25,42,12,67,18,1786
r,220328,8483,44715,36488,684314,7909,25005,1699,191583,249,4552,8679,54625,33605,168041,7351,7420,39060,114943,114419,27203,21885,675,264,7237,523,472507
s,126023,2223,30526,3970,291251,4598,1046,8109,164723,2088,2972,5566,12102,2620,142978,40919,12824,1854,144152,201664,112155,1326,1787,125,9837,180,1328653
t,150853,1284,8836,1205,495379,1381,729,32777,362718,372,173,2584,2996,1156,116694,5634,158,219977,77530,58013,61888,1478,2725,168,8132,993,687307
u,31466,22265,30971,19774,231518,6917,8745,3304,143726,9793,1443,59158,29900,176707,9001,29244,1189,355569,196056,150350,3786,55695,126,63712,1676,1053,192946
v,59971,229,369,400,192169,206,125,168,95061,30,80,242,232,154,138663,210,48,32412,442,236,5502,109,41,24,264,28,6479
w,5584,212,431,230,10679,266,108,1802,6934,111,116,575,230,941,3035,613,31,488,3648,249,225,67,5571,52,321,53,3814
x,3323,189,4944,194,12235,274,45,371,11419,79,30,511,466,193,886,13956,307,322,373,8673,1466,388,39,900,1181,21,77955
y,9863,967,3441,1615,16378,406,1047,129,423,101,124,3677,4167,3367,6219,6561,37,2687,13584,2358,457,677,293,142,96,265,35418
z,3483,196,106,113,4392,43,97,344,2995,37,49,869,569,1188,3871,60,21,55,105,119,673,3701,116,47,480,1020,54003
 ,514931,129551,500651,861208,487946,174996,83639,56704,131907,97650,10823,642484,276510,176852,115281,573131,138980,197906,438260,207484,141515,195938,18887,5088,14329,5262,459457
