,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,0.0008303809122681387,0.019879590771662833,0.0452649506526762,0.01688134823809794,0.0017394841728119383,0.006454433346946572,0.03472055164785456,0.0013586598179555686,0.10626278239144908,0.002487546284345122,0.0015073131862730603,0.06392734206978237,0.022405898821402568,0.14328306558410783,0.0024080247244118403,0.023301415483766814,0.00345579120755287,0.0917942541477087,0.044592014436959385,0.08848192143269878,0.07042053718212356,0.03735075721308501,0.0006653437049694181,0.0016347874456635973,0.0062066777330840855,0.0018010234704487493,0.1608841039198934
b,0.10711394367410214,0.008061321160968048,0.0033244337266385322,0.0034966841787959693,0.11463267591077426,0.0007177102173226538,0.0005626848103809606,0.0005770390147274136,0.12976200729193582,0.009505354118221227,0.00021531306519679614,0.2079206499583728,0.002015330290242012,0.0012660408233571613,0.13283093618120748,0.0011741739155398617,8.325438520942785e-05,0.1627709356070393,0.01781930927568685,0.008529268222662418,0.047110498665058995,0.001022019349467459,0.0004679470616943703,0.0001521545660724026,0.007952229207935004,0.0002698590417133178,0.030646226279677318
c,0.08885502759018618,0.0007354674078227727,0.020609340842414933,0.0009784560873133904,0.2149303947143867,0.0007151506286011491,0.0007801643221103444,0.11887916392390147,0.07193358851208036,8.370513039308904e-05,0.008112083607609852,0.03246458785381671,0.0020284272374868958,0.0007037732322370399,0.2305962568365962,0.0007582222005509911,0.0016082762431837206,0.03564457013758523,0.004077983925364279,0.07833337396689177,0.03628820570332626,0.0017114854816295683,6.907704935352008e-05,3.982088727438217e-05,0.002891484018821464,0.0001349034140315804,0.04603700904503011
d,0.09448870076005314,0.0006020303290042938,0.0013153672100647122,0.0018800245361888473,0.5504775213574524,0.0011236274561578115,0.0014494225464826724,0.00517291107256456,0.0994714969918795,0.0009375748983413699,7.474600576031718e-05,0.0007620842761214947,0.00442626347154574,0.0005922808499920785,0.04903906697485853,0.0014973574849593975,6.580898333245317e-05,0.03500956667628074,0.007336482956692002,0.0007133368810604184,0.09784495891000825,0.0007580219931997384,0.0004444137516401467,5.687196090458916e-05,0.0019490833458587057,8.368302818818119e-05,0.04242729529140787
e,0.011076664160975969,0.003680373006366389,0.03179911916962196,0.0082462915626533,0.015281690715554536,0.005984822587124135,0.008843304863971824,0.0006860575087752069,0.006659092166195301,0.001147781647644273,0.00038410515558707066,0.030178913569992645,0.03821284104520852,0.10482842668315767,0.00204112536644593,0.01235012327454179,0.0022146799622423546,0.08974930700574797,0.1564483149154488,0.06262836375374833,0.03492056295525211,0.009633821565201307,0.0009767659905533346,0.00874628113486933,0.0007031046686548975,0.010504858893947623,0.3420732066705174
f,0.17379060881910807,0.0005819901453148488,0.0017459704359445464,0.0010909052948054117,0.13208827459495573,0.0944703106731251,0.0005480624686821446,0.0003236178386504092,0.184686612660765,0.00014875981292801068,0.0002740312343410723,0.025787644062134626,0.0011170035075997995,0.0008612410222147987,0.18551131618506764,0.0010674169032904627,5.219642558877568e-05,0.09666517036913312,0.015588462502087857,0.004491502421914147,0.023939890596291966,0.00031317855353265407,0.00017746784700183732,0.0003888633706363788,0.0006133080006681142,8.09044596626023e-05,0.05359528979455487
g,0.12298447801484712,0.0017364896433577325,0.002022011109380678,0.0021855370399210925,0.3229169911228781,0.0010174946789181332,0.004672169444011836,0.008479987540881483,0.09607797331672117,0.000173908529304885,0.00033743445984529927,0.035539635570783365,0.007345688625863054,0.08082853138140476,0.04840367543996262,0.0027202408762913356,5.96999428957068e-05,0.12214348751492499,0.006242537507138037,0.005619581581269792,0.0621216840575196,0.00107719462181384,0.0007060167159840108,0.00014535638270259045,0.0023905933655193894,0.00024399107096506256,0.061807610444894356
h,0.2290069618272841,0.0009191176470588235,0.0013200093867334168,0.0018349760116812682,0.31916197329995827,0.001196156654151022,0.0005051887776387151,0.0012678608677513558,0.11639875365039633,0.0003096318314559866,0.000488892365456821,0.0039926209845640385,0.00559944722569879,0.0197773258239466,0.13666823112223614,0.006450119941593659,0.00023466833541927409,0.015937891113892367,0.0036732113057989153,0.02128637359198999,0.034111649979140596,0.0006225229453483521,0.0007496349603671256,0.00011733416770963704,0.015123070504797664,0.0008115613266583229,0.062434814351272426
i,0.02035224004333671,0.01222827503464393,0.042175309334949146,0.021692542057501207,0.11472760050492771,0.0170285913025492,0.01883929178341487,0.0002894118225980591,0.0013177829386309319,0.0007156061780666706,0.0012535618713685383,0.07922919706568106,0.026984941827806638,0.11886568914417922,0.09030274394935377,0.009211969972897876,0.029935774762538434,0.06580490890825437,0.12480029958710857,0.10957990664592132,0.0009616479292667497,0.025296428182706433,0.00014387187146445301,0.0053712165346729126,0.00012969319427665185,0.0013615700299462003,0.061399927521938374
j,0.20018957483140865,0.0008031605452808892,0.0013603079505658303,0.001403722034094527,0.366523400191022,0.0007380394199878441,0.0003328413070533414,0.0006946253364591474,0.006671297502243061,0.0004992619605800122,0.0008393389482214697,0.001049173685276837,0.0007235680588116118,0.001533964284680617,0.24229400017365632,0.0025324882058406412,0.0004775549188156638,0.0007814535035165407,0.001707620618795404,0.0005064976411681283,0.15623281525860322,0.0005282046829324766,0.00020983473705536742,5.064976411681283e-05,0.0013386009088014819,0.00018089201470290295,0.009797111516309224
