,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,0.01,0.16,0.32,0.24,0.01,0.05,0.15,0.02,0.21,0.01,0.09,0.68,0.21,1.26,0.0,0.14,0.0,0.75,0.48,0.91,0.1,0.15,0.04,0.01,0.21,0.02,0.52
b,0.12,0.01,0.0,0.0,0.38,0.0,0.0,0.0,0.08,0.01,0.0,0.16,0.01,0.0,0.15,0.0,0.0,0.09,0.05,0.01,0.12,0.0,0.0,0.0,0.09,0.0,0.04
c,0.38,0.0,0.06,0.0,0.43,0.0,0.0,0.36,0.16,0.0,0.13,0.12,0.0,0.0,0.57,0.0,0.0,0.11,0.03,0.29,0.1,0.0,0.0,0.0,0.04,0.0,0.11
d,0.16,0.01,0.01,0.04,0.48,0.01,0.02,0.01,0.31,0.0,0.0,0.02,0.01,0.01,0.16,0.01,0.0,0.06,0.09,0.0,0.09,0.02,0.01,0.0,0.03,0.0,1.4
e,0.5,0.07,0.32,0.62,0.25,0.08,0.09,0.02,0.1,0.0,0.02,0.36,0.27,0.84,0.06,0.15,0.03,1.3,0.91,0.31,0.02,0.16,0.11,0.13,0.09,0.0,3.04
f,0.1,0.0,0.0,0.0,0.17,0.09,0.0,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.36,0.0,0.0,0.13,0.0,0.05,0.07,0.0,0.0,0.0,0.01,0.0,0.49
g,0.11,0.0,0.0,0.0,0.26,0.0,0.02,0.14,0.11,0.0,0.0,0.04,0.01,0.04,0.11,0.0,0.0,0.12,0.04,0.01,0.06,0.0,0.0,0.0,0.02,0.0,0.62
h,0.55,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.02,0.32,0.0,0.0,0.05,0.01,0.09,0.04,0.0,0.0,0.0,0.03,0.0,0.41
i,0.18,0.06,0.44,0.2,0.28,0.14,0.17,0.0,0.01,0.0,0.06,0.34,0.19,1.58,0.46,0.07,0.01,0.18,0.65,0.72,0.01,0.18,0.0,0.01,0.0,0.04,0.18
j,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
k,0.02,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.12,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.01,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.2
l,0.32,0.01,0.01,0.13,0.56,0.02,0.0,0.0,0.46,0.0,0.02,0.42,0.02,0.01,0.3,0.03,0.0,0.01,0.11,0.08,0.09,0.02,0.01,0.0,0.28,0.0,0.61
m,0.42,0.1,0.01,0.0,0.52,0.0,0.0,0.0,0.2,0.0,0.0,0.01,0.07,0.0,0.23,0.14,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.3
n,0.25,0.01,0.24,0.79,0.48,0.06,0.71,0.01,0.22,0.01,0.06,0.05,0.02,0.06,0.27,0.01,0.0,0.01,0.32,0.69,0.07,0.03,0.0,0.0,0.08,0.0,1.3
o,0.06,0.07,0.12,0.13,0.03,0.46,0.08,0.01,0.06,0.01,0.09,0.23,0.38,1.07,0.21,0.17,0.0,0.9,0.2,0.26,0.77,0.15,0.23,0.01,0.02,0.0,0.75
p,0.22,0.0,0.01,0.01,0.3,0.0,0.0,0.06,0.09,0.0,0.0,0.22,0.03,0.0,0.23,0.1,0.0,0.32,0.05,0.07,0.07,0.0,0.0,0.0,0.01,0.0,0.16
q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
r,0.41,0.02,0.09,0.12,1.23,0.03,0.06,0.01,0.47,0.0,0.08,0.05,0.11,0.1,0.47,0.03,0.0,0.07,0.3,0.25,0.09,0.06,0.01,0.0,0.18,0.0,1.17
s,0.16,0.01,0.11,0.01,0.62,0.01,0.0,0.2,0.38,0.0,0.04,0.04,0.04,0.02,0.26,0.12,0.0,0.01,0.27,0.73,0.18,0.0,0.02,0.0,0.03,0.0,2.26
t,0.36,0.01,0.03,0.01,0.8,0.01,0.0,1.73,0.81,0.0,0.0,0.05,0.03,0.01,0.75,0.01,0.0,0.26,0.27,0.12,0.15,0.0,0.05,0.0,0.14,0.0,1.56
u,0.1,0.06,0.11,0.06,0.09,0.01,0.08,0.0,0.07,0.0,0.01,0.2,0.08,0.26,0.01,0.1,0.0,0.45,0.36,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.19
v,0.1,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
w,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.19,0.28,0.0,0.0,0.01,0.0,0.05,0.14,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18
x,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04
y,0.02,0.01,0.01,0.01,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.01,0.32,0.02,0.0,0.01,0.08,0.02,0.0,0.0,0.01,0.0,0.0,0.0,1.07
z,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
 ,1.97,0.73,0.98,0.55,0.45,0.71,0.31,0.57,1.16,0.14,0.1,0.44,0.71,0.38,1.03,0.8,0.04,0.52,1.14,2.24,0.25,0.15,0.87,0.01,0.35,0.01,0.77
