,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
a,744582,19603697,45024543,16571313,1519111,6486693,34202891,1463679,104770525,2405534,1563209,62925254,22835691,140185236,2532595,23262383,3488876,89358981,43201758,88711011,69400656,36084527,668827,1560029,6188240,1787073,155964544
b,15027684,989821,507052,596262,15926493,115374,66442,103695,17600773,1348502,31548,28301663,317508,185859,18216324,135689,17566,21584546,2433951,1235573,6297786,146715,82686,25044,1089660,37187,4312012
c,43219229,318487,10328652,469879,103532851,401768,343855,57611246,35391076,45559,4098568,16114279,866406,373115,111700002,398883,798926,17218180,2119458,38742292,17615630,680672,30691,32265,1424455,68034,22617636
d,45680606,284169,629740,931950,265978287,569199,738673,2537212,47894829,506468,63427,392578,2173092,249812,23743228,738049,29589,16677092,3538421,348810,48096720,473925,175954,38508,962732,54673,20372782
e,23963351,8289692,69638498,18033301,33281535,13151649,19115408,1569088,14550727,2611798,817975,65461988,82291176,226908553,4611529,26950176,4745687,194648021,336440841,135177105,74431915,20828824,2064906,18724796,1431686,22755461,739342778
f,25927718,104785,271886,164037,20123157,14364100,104358,55507,28356999,31907,30176,3869581,164260,125682,27891830,186359,13227,14955079,2372160,650620,3661180,35182,31325,48072,113539,12198,8039296
g,18356046,280389,377657,334770,49020957,137464,617992,1285162,14958164,33934,63815,5241397,1085057,12271116,7236448,381812,12076,18105899,934373,865906,9080347,158845,109669,21204,464625,32754,9582116
h,27861199,125165,158873,238646,38100908,176054,56549,154617,13860520,31069,65318,499174,511099,2506612,16705390,686120,24876,1981737,482293,2631747,4127698,79624,105188,14182,1983745,68869,7826271
i,19462310,11078798,40798873,20346052,108078275,16257196,17651521,293300,1054592,509081,1200009,73818102,25992530,111989979,86505810,8880474,28917203,62750241,116917198,104114795,967942,23912230,129327,4937297,160338,1251394,58048683
j,10981897,37351,84283,71955,20449936,38048,15728,50335,433784,32968,34705,39290,56996,44566,13535133,157213,29544,48981,102373,51593,8470825,26651,14582,6129,88458,10785,629146
k,2341140,217859,232243,55323,4094017,77202,243410,357350,6812206,44797,109414,298475,515832,199340,1175745,171561,9850,530280,652371,265437,383403,45159,121287,19277,385431,18914,4720159
l,122303844,857124,1445742,1581845,242235923,698748,1491381,2869675,82143361,75645,336729,51506346,1756424,305115,37622812,960920,2056247,273188,10572952,7479829,31077108,701253,136404,53020,3876019,98065,52358839
m,70471088,17095532,443232,238435,127803347,205424,258963,161589,34023461,58128,57694,621856,27410116,757113,35089829,27608592,28329,271963,1913539,350082,8521062,82092,198961,52273,943665,34001,13555067
n,39830655,608806,49862632,47576260,121189402,12954757,18060909,905039,38604457,1513124,1090897,1002193,567523,36460026,48433011,556417,2162109,2166002,92687645,187830421,11041111,9079979,126916,129667,1957933,512780,188433733
o,1336543,11270894,20660547,12610469,4002169,8409759,10825751,785614,53518910,1924306,6344389,26741938,50873661,225973734,9021655,18527543,1629748,65092778,30441844,33316700,170998189,6229626,1865762,1386586,6797743,357624,14891991
p,73540905,559961,659344,622489,57970658,219568,184940,9367083,13220343,54621,69322,36618205,374810,442995,76526113,14933315,22407,64408327,6151510,13693568,12700942,168015,334628,97582,532704,22824,7715506
q,135201,15094,51253,17225,20831,14841,11508,10298,61944,7668,5639,47823,14937,13365,29005,25050,29445,30804,35095,34795,104061918,17319,13830,5851,11446,5113,707410
r,86561572,2950483,17928286,13905269,269318307,3252035,9908578,631888,76567464,132241,1875878,3373604,21329045,13379272,64869411,2601480,2923189,15143316,45427266,45173642,10608895,8380925,259394,87576,2700345,169932,187382736
s,49491797,1004792,12382207,961701,114496165,1812581,424138,3399246,63751614,784960,1092916,2231278,4720716,966817,56055041,16015644,5099995,744427,56104769,78320257,44997834,578261,843373,47219,3861834,67603,518600183
t,59634795,571401,3709290,542321,194018486,543606,330898,12738764,144803208,191952,79106,1075974,1170753,472212,46383026,2322879,65957,87287528,30522766,22965920,24783853,618648,1160841,76285,3021113,378853,266854748
u,12131396,9196934,12179380,7940511,90432713,2853460,3452732,1318595,55946578,3828424,549290,23301404,11946306,70150321,3353658,11558411,377523,140836988,77017615,58714748,1490323,22062310,63986,25050738,706022,465191,75629608
v,23543616,62742,153491,214854,74868935,105980,60148,51144,37761742,18160,26552,118408,100392,100074,54859823,163221,12109,13013316,182625,133207,2184872,37878,28893,13800,102551,13335,2601034
w,2099087,115016,217455,107994,4181200,112359,56798,607975,2862724,31931,47111,201632,109334,315124,1268121,195301,17141,231328,1470788,104891,79768,36553,2063828,14364,111880,18047,1609746
x,1284710,106222,1983338,78787,4701407,126558,38713,155878,4271557,25353,11601,156016,205510,75089,321996,5534244,133657,84121,135806,3321751,667402,164245,31675,356512,414318,11811,30337187
y,4204369,376370,1495372,691968,6395018,103794,283522,59744,198228,43894,57544,1378069,1607395,1368714,2620712,2698280,23458,950901,5499645,992747,219146,278931,107078,41446,42354,111477,13223825
z,1312453,74068,49093,66124,1633254,26657,25629,135914,1054057,10033,24660,295860,227427,476736,1514677,28725,10978,31408,45538,43067,302589,1529031,41282,17192,186690,422745,21198617
 ,200961798,50244824,194732022,338862450,189868798,68570747,32677923,22641203,51494023,39014964,4428767,250453089,108886644,69149271,44774540,224992266,52643177,78185874,172384024,81181459,56087689,77698066,7468449,1923585,5562097,1923529,183483235
